id_ticket|cod_centro|fecha_ticket|hora_ticket|total_ticket|metodo_pago|empleado
TICK001|CENT001|2025-01-15|10:30:45|150.50|Tarjeta|EMP023
TICK002|CENT001|2025-01-15|11:15:20|89.75|Efectivo|EMP045
TICK003|CENT002|2025-01-15|12:05:30|234.90|Tarjeta|EMP067
TICK004|CENT003|2025-01-15|13:20:15|67.80|Efectivo|EMP089
TICK005|CENT002|2025-01-15|14:35:40|189.25|Tarjeta|EMP102
TICK006|CENT004|2025-01-15|15:10:30|45.90|Efectivo|EMP115
TICK007|CENT001|2025-01-15|16:45:20|321.75|Tarjeta|EMP128
TICK008|CENT005|2025-01-15|17:30:10|78.60|Efectivo|EMP141
TICK009|CENT003|2025-01-15|18:15:45|156.40|Tarjeta|EMP154
TICK010|CENT002|2025-01-15|19:05:30|94.20|Efectivo|EMP167
TICK011|CENT006|2025-01-16|09:30:15|210.80|Tarjeta|EMP180
TICK012|CENT007|2025-01-16|10:20:40|132.50|Efectivo|EMP193
TICK013|CENT008|2025-01-16|11:15:25|87.90|Tarjeta|EMP206
TICK014|CENT009|2025-01-16|12:10:30|176.35|Efectivo|EMP219
TICK015|CENT010|2025-01-16|13:25:45|54.70|Tarjeta|EMP232
TICK016|CENT006|2025-01-16|14:40:20|198.60|Efectivo|EMP245
TICK017|CENT007|2025-01-16|15:35:10|112.80|Tarjeta|EMP258
TICK018|CENT008|2025-01-16|16:20:35|76.45|Efectivo|EMP271
TICK019|CENT009|2025-01-16|17:15:50|143.20|Tarjeta|EMP284
TICK020|CENT010|2025-01-16|18:30:25|65.90|Efectivo|EMP297
